Roll No,Gender,District,Rank,Apt_BAR,p1,p2,QuotaGroup,QuotaType,phaseNo,valid,amount,admitted,year
12083,Male,Achham,996,,2,8,Open,Open,1,1,600,0,2077
625,Male,Achham,1966,,5,1,Reserverd Quota,,1,0,600,0,2077
4925,Male,Achham,302,,1,2,Open,Open,1,1,600,1,2077
3039,Male,Achham,1788,,1,11,Reserverd Quota,Durgam Chettra,1,1,600,1,2077
447,Male,Achham,2554,,1,,Reserverd Quota,,1,0,300,0,2077
12755,Male,Achham,2437,,1,,Reserverd Quota,,1,0,300,0,2077
850,Male,Achham,329,,1,2,Open,Open,1,1,600,1,2077
1358,Male,Achham,514,,1,2,Open,Open,1,1,600,0,2077
4739,Male,Achham,432,,1,2,Open,Open,1,1,900,0,2077
994,Male,Achham,496,,5,1,Open,Open,1,1,1800,0,2077
994,Male,Achham,496,,1,,Reserverd Quota,,1,0,300,0,2077
6899,Male,Achham,5275,,9,29,Reserverd Quota,,1,0,600,0,2077
6899,Male,Achham,5275,,30,,Open,Open,1,1,300,0,2077
2644,Male,Achham,5621,,2,,Government Sponsored,Government Sponsored Quota,1,1,300,1,2077
994,Male,Achham,496,,5,,Open,Open,2,1,300,0,2077
12083,Male,Achham,996,,1,2,Open,Open,2,1,600,0,2077
6899,Male,Achham,5275,,30,28,Open,Open,2,1,600,0,2077
6899,Male,Achham,5275,,11,12,Open,Open,4,1,900,0,2077
12083,Male,Achham,996,,1,,Open,Open,4,1,300,0,2077
6642,Female,Arghakhanchi,3649,,12,6,Open,Female Quota,1,1,900,0,2077
1848,Female,Arghakhanchi,3565,,2,12,Open,Female Quota,1,1,600,0,2077
3917,Female,Arghakhanchi,5833,,1,2,Open,Female Quota,1,1,1200,0,2077
7555,Female,Arghakhanchi,1147,,9,10,Open,Female Quota,1,1,1200,1,2077
3892,Female,Arghakhanchi,2612,,1,2,Open,Female Quota,1,1,900,0,2077
676,Female,Arghakhanchi,32,,1,2,Open,Female Quota,1,1,600,1,2077
8443,Female,Arghakhanchi,4163,,3,4,Open,Female Quota,1,1,1500,0,2077
7993,Female,Arghakhanchi,2145,,3,4,Open,Female Quota,1,1,900,0,2077
3253,Female,Arghakhanchi,1600,,1,2,Open,Female Quota,1,1,600,0,2077
3917,Female,Arghakhanchi,5833,,30,,Open,Female Quota,2,1,300,0,2077
3917,Female,Arghakhanchi,5833,,1,30,Open,Female Quota,4,1,600,0,2077
518,Male,Arghakhanchi,492,,11,12,Open,Open,1,1,900,0,2077
1826,Male,Arghakhanchi,178,,11,12,Open,Open,1,1,1200,1,2077
103,Male,Arghakhanchi,97,,1,2,Open,Open,1,1,600,1,2077
4444,Male,Arghakhanchi,389,,7,27,Open,Open,1,1,1200,0,2077
2799,Male,Arghakhanchi,513,,2,,Open,Open,1,1,300,0,2077
3672,Male,Arghakhanchi,2336,,29,30,Open,Open,1,1,600,0,2077
6032,Male,Arghakhanchi,55,,11,12,Open,Open,1,1,600,1,2077
84,Male,Arghakhanchi,1593,1,1,11,Reserverd Quota,,1,0,600,0,2077
84,Male,Arghakhanchi,1593,1,4,29,Open,Open,1,1,600,0,2077
2551,Male,Arghakhanchi,1286,,28,,Open,Open,1,1,300,0,2077
1618,Male,Arghakhanchi,1144,1,4,,Open,Open,1,1,600,0,2077
4818,Male,Arghakhanchi,1721,,29,27,Open,Open,1,1,600,0,2077
751,Male,Arghakhanchi,183,,11,12,Open,Open,1,1,600,1,2077
2166,Male,Arghakhanchi,50,,11,12,Open,Open,1,1,600,1,2077
2401,Male,Arghakhanchi,310,,11,7,Open,Open,1,1,1200,1,2077
8333,Male,Arghakhanchi,361,,12,2,Open,Open,1,1,600,0,2077
1701,Male,Arghakhanchi,3281,,29,30,Open,Open,1,1,600,1,2077
1207,Male,Arghakhanchi,1770,,1,11,Reserverd Quota,,1,0,600,0,2077
3161,Male,Arghakhanchi,928,,2,6,Open,Open,1,1,600,0,2077
1603,Male,Arghakhanchi,3304,,29,30,Open,Open,1,1,600,1,2077
3143,Male,Arghakhanchi,1582,,10,,Open,Open,1,1,300,0,2077
2763,Male,Arghakhanchi,80,,11,12,Open,Open,1,1,600,1,2077
553,Male,Arghakhanchi,22,,1,,Open,Open,1,1,300,1,2077
6392,Male,Arghakhanchi,2492,,2,,Open,Open,1,1,300,0,2077
1701,Male,Arghakhanchi,3281,,30,,Open,Open,2,1,300,1,2077
1603,Male,Arghakhanchi,3304,,30,,Open,Open,2,1,300,1,2077
84,Male,Arghakhanchi,1593,1,29,,Open,Open,2,1,300,0,2077
