name,category,date,value
Ilam,Ilam,2076-01-01,1
Lalitpur,Lalitpur,2076-01-01,1
Rupandehi,Rupandehi,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,3
Chitawan,Chitawan,2076-01-01,1
Parbat,Parbat,2076-01-01,1
Makwanpur,Makwanpur,2076-01-01,1
Mahottari,Mahottari,2076-01-01,1
Parsa,Parsa,2076-01-01,1
Sindhuli,Sindhuli,2076-01-01,1
Terhathum,Terhathum,2076-01-01,1
Tanahun,Tanahun,2076-01-01,1
Gulmi,Gulmi,2076-01-01,1
Syangja,Syangja,2076-01-01,1
Kaski,Kaski,2076-01-01,1
Kavrepalanchok,Kavrepalanchok,2076-01-01,1
Saptari,Saptari,2076-01-01,1
Lalitpur,Lalitpur,2076-01-01,2
Kailali,Kailali,2076-01-01,1
Rautahat,Rautahat,2076-01-01,1
Parbat,Parbat,2076-01-01,2
Arghakhanchi,Arghakhanchi,2076-01-01,1
Mahottari,Mahottari,2076-01-01,2
Bara,Bara,2076-01-01,1
Bara,Bara,2076-01-01,2
Lamjung,Lamjung,2076-01-01,1
Dang,Dang,2076-01-01,1
Dang,Dang,2076-01-01,2
Kaski,Kaski,2076-01-01,2
Chitawan,Chitawan,2076-01-01,2
Kaski,Kaski,2076-01-01,3
Rupandehi,Rupandehi,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,4
Dailekh,Dailekh,2076-01-01,1
Myagdi,Myagdi,2076-01-01,1
Sunsari,Sunsari,2076-01-01,1
Gorkha,Gorkha,2076-01-01,1
Dang,Dang,2076-01-01,3
Rasuwa,Rasuwa,2076-01-01,1
Kailali,Kailali,2076-01-01,2
Rupandehi,Rupandehi,2076-01-01,3
Rupandehi,Rupandehi,2076-01-01,4
Morang,Morang,2076-01-01,1
Achham,Achham,2076-01-01,1
Banke,Banke,2076-01-01,1
Rupandehi,Rupandehi,2076-01-01,5
Kanchanpur,Kanchanpur,2076-01-01,1
Myagdi,Myagdi,2076-01-01,2
Rupandehi,Rupandehi,2076-01-01,6
Tanahun,Tanahun,2076-01-01,2
Syangja,Syangja,2076-01-01,2
Kaski,Kaski,2076-01-01,4
Surkhet,Surkhet,2076-01-01,1
Siraha,Siraha,2076-01-01,1
Siraha,Siraha,2076-01-01,2
Syangja,Syangja,2076-01-01,3
Kathmandu,Kathmandu,2076-01-01,5
Syangja,Syangja,2076-01-01,4
Kaski,Kaski,2076-01-01,5
Kaski,Kaski,2076-01-01,6
Saptari,Saptari,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,6
Sunsari,Sunsari,2076-01-01,2
Dhanusha,Dhanusha,2076-01-01,1
Kaski,Kaski,2076-01-01,7
Kathmandu,Kathmandu,2076-01-01,7
Kathmandu,Kathmandu,2076-01-01,8
Siraha,Siraha,2076-01-01,3
Chitawan,Chitawan,2076-01-01,3
Lamjung,Lamjung,2076-01-01,2
Sarlahi,Sarlahi,2076-01-01,1
Kathmandu,Kathmandu,2076-01-01,9
Kaski,Kaski,2076-01-01,8
Rupandehi,Rupandehi,2076-01-01,7
Gulmi,Gulmi,2076-01-01,2
Surkhet,Surkhet,2076-01-01,2
Ilam,Ilam,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,10
Chitawan,Chitawan,2076-01-01,4
Dhanusha,Dhanusha,2076-01-01,2
Kathmandu,Kathmandu,2076-01-01,11
Surkhet,Surkhet,2076-01-01,3
